order_id,customer_id,product_id,quantity,order_timestamp,payment_method,status,shipping_city,order_value,month
79,43,3,1,2025-11-17T07:17:09Z,Debit Card,Pending,Maheshtala,26597.09,2025-11
78,82,4,1,2025-11-17T07:17:09Z,Net Banking,Shipped,Bhatpara,55780.22,2025-11
77,63,17,5,2025-11-17T07:17:09Z,Upi,Delivered,Jaunpur,241056.75,2025-11
76,27,14,3,2025-11-17T07:17:09Z,Wallet,Pending,Berhampur,72740.73,2025-11
51,8,4,1,2025-11-17T07:17:09Z,Net Banking,Cancelled,Mira-Bhayandar,55780.22,2025-11
74,18,20,1,2025-11-17T07:17:09Z,Upi,Completed,Madhyamgram,57706.98,2025-11
73,2,42,5,2025-11-17T07:17:09Z,Wallet,Shipped,Lucknow,174063.15,2025-11
72,70,11,4,2025-11-17T07:17:09Z,Wallet,Completed,Rajahmundry,163879.6,2025-11
69,59,5,1,2025-11-17T07:17:09Z,Cash On Delivery,Delivered,Karnal,32737.66,2025-11
50,53,23,4,2025-11-17T07:17:09Z,Net Banking,Shipped,Pimpri-Chinchwad,21266.52,2025-11
71,9,9,3,2025-11-17T07:17:09Z,Debit Card,Completed,Dehri,231063.0,2025-11
48,61,37,5,2025-11-17T07:17:09Z,Debit Card,Shipped,Ballia,230017.55,2025-11
28,33,30,5,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Noida,411669.6,2025-11
27,9,28,5,2025-11-17T07:17:09Z,Net Banking,Completed,Bhilwara,142628.05,2025-11
26,81,8,2,2025-11-17T07:17:09Z,Debit Card,Shipped,Ballia,52514.2,2025-11
25,64,9,5,2025-11-17T07:17:09Z,Credit Card,Shipped,Ozhukarai,385105.0,2025-11
24,52,28,5,2025-11-17T07:17:09Z,Upi,Completed,Amroha,142628.05,2025-11
23,69,48,5,2025-11-17T07:17:09Z,Upi,Cancelled,Yamunanagar,338263.7,2025-11
22,19,42,4,2025-11-17T07:17:09Z,Upi,Completed,Chennai,139250.52,2025-11
21,28,37,3,2025-11-17T07:17:09Z,Wallet,Completed,North Dumdum,138010.53,2025-11
20,9,26,3,2025-11-17T07:17:09Z,Debit Card,Delivered,Kolhapur,57672.48,2025-11
19,30,50,1,2025-11-17T07:17:09Z,Credit Card,Shipped,Bareilly,26625.96,2025-11
17,21,47,2,2025-11-17T07:17:09Z,Net Banking,Completed,Purnia,122896.84,2025-11
16,78,18,1,2025-11-17T07:17:09Z,Wallet,Completed,Akola,14956.2,2025-11
15,48,24,2,2025-11-17T07:17:09Z,Upi,Completed,Sagar,6356.78,2025-11
14,49,15,1,2025-11-17T07:17:09Z,Upi,Completed,Kanpur,61613.23,2025-11
49,13,27,2,2025-11-17T07:17:09Z,Credit Card,Cancelled,Mysore,102350.1,2025-11
29,88,1,1,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Kochi,11495.91,2025-11
30,15,50,3,2025-11-17T07:17:09Z,Upi,Completed,Aizawl,79877.88,2025-11
18,29,41,5,2025-11-17T07:17:09Z,Wallet,Completed,Chandigarh,190833.75,2025-11
32,65,33,2,2025-11-17T07:17:09Z,Credit Card,Shipped,Kochi,97290.52,2025-11
47,70,32,2,2025-11-17T07:17:09Z,Debit Card,Cancelled,Bhiwandi,44842.98,2025-11
31,93,30,1,2025-11-17T07:17:09Z,Wallet,Completed,Machilipatnam,82333.92,2025-11
46,66,22,1,2025-11-17T07:17:09Z,Debit Card,Completed,Saharsa,75902.82,2025-11
45,30,46,1,2025-11-17T07:17:09Z,Credit Card,Delivered,Dehradun,61320.42,2025-11
43,9,16,2,2025-11-17T07:17:09Z,Upi,Completed,Ghaziabad,109876.1,2025-11
42,57,43,3,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Solapur,268953.27,2025-11
41,92,45,2,2025-11-17T07:17:09Z,Upi,Completed,Dehri,155021.88,2025-11
40,28,39,4,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Hajipur,40538.12,2025-11
44,76,36,2,2025-11-17T07:17:09Z,Debit Card,Completed,Chapra,39944.14,2025-11
38,99,5,5,2025-11-17T07:17:09Z,Debit Card,Completed,Siwan,163688.3,2025-11
37,11,37,1,2025-11-17T07:17:09Z,Wallet,Completed,Vijayanagaram,46003.51,2025-11
36,31,24,3,2025-11-17T07:17:09Z,Credit Card,Completed,Malda,9535.17,2025-11
35,63,39,3,2025-11-17T07:17:09Z,Credit Card,Completed,Morena,30403.59,2025-11
34,70,49,2,2025-11-17T07:17:09Z,Cash On Delivery,Delivered,Muzaffarnagar,115586.54,2025-11
39,22,31,5,2025-11-17T07:17:09Z,Upi,Pending,Shahjahanpur,65572.9,2025-11
33,78,20,5,2025-11-17T07:17:09Z,Debit Card,Completed,Arrah,288534.9,2025-11
169,16,13,3,2025-11-17T07:17:09Z,Wallet,Pending,Sikar,96500.34,2025-11
160,44,23,3,2025-11-17T07:17:09Z,Upi,Shipped,Ahmedabad,15949.89,2025-11
161,72,45,3,2025-11-17T07:17:09Z,Credit Card,Pending,Bettiah,232532.82,2025-11
162,31,13,1,2025-11-17T07:17:09Z,Wallet,Completed,Jorhat,32166.78,2025-11
163,89,36,2,2025-11-17T07:17:09Z,Net Banking,Pending,Pune,39944.14,2025-11
165,40,26,2,2025-11-17T07:17:09Z,Wallet,Pending,Jalandhar,38448.32,2025-11
166,68,31,5,2025-11-17T07:17:09Z,Upi,Completed,New Delhi,65572.9,2025-11
167,43,48,5,2025-11-17T07:17:09Z,Upi,Cancelled,Udupi,338263.7,2025-11
159,42,2,4,2025-11-17T07:17:09Z,Debit Card,Completed,Chennai,137014.12,2025-11
168,33,18,3,2025-11-17T07:17:09Z,Debit Card,Completed,Raichur,44868.6,2025-11
164,3,32,4,2025-11-17T07:17:09Z,Credit Card,Completed,Mangalore,89685.96,2025-11
158,79,30,5,2025-11-17T07:17:09Z,Wallet,Completed,Morbi,411669.6,2025-11
150,16,44,5,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Aurangabad,114254.25,2025-11
156,94,30,4,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Dindigul,329335.68,2025-11
155,79,42,3,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Dibrugarh,104437.89,2025-11
154,56,30,2,2025-11-17T07:17:09Z,Debit Card,Cancelled,Bangalore,164667.84,2025-11
153,47,7,4,2025-11-17T07:17:09Z,Wallet,Shipped,Jabalpur,238457.28,2025-11
152,2,33,3,2025-11-17T07:17:09Z,Net Banking,Shipped,Durgapur,145935.78,2025-11
151,55,23,5,2025-11-17T07:17:09Z,Wallet,Completed,Chennai,26583.15,2025-11
149,14,45,2,2025-11-17T07:17:09Z,Wallet,Shipped,Loni,155021.88,2025-11
148,92,25,4,2025-11-17T07:17:09Z,Debit Card,Completed,Udaipur,145133.92,2025-11
147,4,7,5,2025-11-17T07:17:09Z,Upi,Pending,Bongaigaon,298071.6,2025-11
146,100,48,1,2025-11-17T07:17:09Z,Debit Card,Delivered,Gulbarga,67652.74,2025-11
170,25,49,2,2025-11-17T07:17:09Z,Debit Card,Cancelled,Dindigul,115586.54,2025-11
145,22,17,3,2025-11-17T07:17:09Z,Cash On Delivery,Pending,Gulbarga,144634.05,2025-11
157,36,16,1,2025-11-17T07:17:09Z,Net Banking,Completed,Tadipatri,54938.05,2025-11
171,98,18,5,2025-11-17T07:17:09Z,Cash On Delivery,Pending,Jaunpur,74781.0,2025-11
189,81,15,3,2025-11-17T07:17:09Z,Cash On Delivery,Cancelled,Dharmavaram,184839.69,2025-11
173,91,20,1,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Jodhpur,57706.98,2025-11
144,73,31,1,2025-11-17T07:17:09Z,Debit Card,Completed,Pallavaram,13114.58,2025-11
198,74,44,3,2025-11-17T07:17:09Z,Credit Card,Shipped,Junagadh,68552.55,2025-11
197,76,44,5,2025-11-17T07:17:09Z,Credit Card,Delivered,Meerut,114254.25,2025-11
196,4,39,3,2025-11-17T07:17:09Z,Credit Card,Completed,Vijayawada,30403.59,2025-11
195,6,6,5,2025-11-17T07:17:09Z,Net Banking,Cancelled,Yamunanagar,317495.45,2025-11
194,65,26,3,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Panvel,57672.48,2025-11
193,60,29,1,2025-11-17T07:17:09Z,Wallet,Completed,Tezpur,45080.04,2025-11
192,96,20,5,2025-11-17T07:17:09Z,Cash On Delivery,Delivered,Phusro,288534.9,2025-11
191,19,10,3,2025-11-17T07:17:09Z,Credit Card,Completed,Dewas,28076.49,2025-11
190,15,13,4,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Sikar,128667.12,2025-11
188,90,46,3,2025-11-17T07:17:09Z,Net Banking,Completed,Pune,183961.26,2025-11
187,38,39,4,2025-11-17T07:17:09Z,Credit Card,Completed,Mangalore,40538.12,2025-11
186,1,5,2,2025-11-17T07:17:09Z,Net Banking,Completed,Tinsukia,65475.32,2025-11
185,21,17,1,2025-11-17T07:17:09Z,Debit Card,Completed,Aurangabad,48211.35,2025-11
184,98,48,1,2025-11-17T07:17:09Z,Debit Card,Pending,Gopalpur,67652.74,2025-11
183,73,28,3,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Tezpur,85576.83,2025-11
182,57,25,4,2025-11-17T07:17:09Z,Upi,Shipped,Berhampur,145133.92,2025-11
181,80,39,5,2025-11-17T07:17:09Z,Debit Card,Shipped,Dehri,50672.65,2025-11
180,16,6,2,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Bathinda,126998.18,2025-11
179,20,4,2,2025-11-17T07:17:09Z,Cash On Delivery,Delivered,Panchkula,111560.44,2025-11
178,10,26,4,2025-11-17T07:17:09Z,Cash On Delivery,Pending,Tirunelveli,76896.64,2025-11
177,62,4,3,2025-11-17T07:17:09Z,Credit Card,Shipped,Pimpri-Chinchwad,167340.66,2025-11
176,57,31,4,2025-11-17T07:17:09Z,Upi,Completed,Suryapet,52458.32,2025-11
175,14,9,4,2025-11-17T07:17:09Z,Credit Card,Pending,Nadiad,308084.0,2025-11
174,71,3,1,2025-11-17T07:17:09Z,Upi,Cancelled,Tiruchirappalli,26597.09,2025-11
172,38,7,2,2025-11-17T07:17:09Z,Debit Card,Completed,Kamarhati,119228.64,2025-11
143,80,13,1,2025-11-17T07:17:09Z,Debit Card,Completed,Bardhaman,32166.78,2025-11
100,47,48,2,2025-11-17T07:17:09Z,Net Banking,Completed,Eluru,135305.48,2025-11
141,84,23,2,2025-11-17T07:17:09Z,Credit Card,Shipped,Jehanabad,10633.26,2025-11
111,87,49,2,2025-11-17T07:17:09Z,Upi,Completed,Rohtak,115586.54,2025-11
110,43,43,5,2025-11-17T07:17:09Z,Credit Card,Shipped,Munger,448255.45,2025-11
109,85,48,2,2025-11-17T07:17:09Z,Credit Card,Completed,Erode,135305.48,2025-11
108,66,29,2,2025-11-17T07:17:09Z,Net Banking,Shipped,Kishanganj,90160.08,2025-11
107,84,38,5,2025-11-17T07:17:09Z,Upi,Completed,Madhyamgram,340463.3,2025-11
106,37,1,3,2025-11-17T07:17:09Z,Debit Card,Completed,Dewas,34487.73,2025-11
105,73,12,5,2025-11-17T07:17:09Z,Upi,Completed,New Delhi,165122.25,2025-11
104,86,13,4,2025-11-17T07:17:09Z,Net Banking,Cancelled,Siwan,128667.12,2025-11
103,90,21,4,2025-11-17T07:17:09Z,Upi,Pending,Gandhinagar,79993.92,2025-11
102,65,8,3,2025-11-17T07:17:09Z,Upi,Cancelled,Jalgaon,78771.3,2025-11
101,80,43,3,2025-11-17T07:17:09Z,Upi,Cancelled,Erode,268953.27,2025-11
199,67,12,4,2025-11-17T07:17:09Z,Wallet,Completed,Aurangabad,132097.8,2025-11
99,69,1,5,2025-11-17T07:17:09Z,Wallet,Cancelled,Nashik,57479.55,2025-11
98,33,37,2,2025-11-17T07:17:09Z,Credit Card,Cancelled,Purnia,92007.02,2025-11
97,66,28,5,2025-11-17T07:17:09Z,Credit Card,Completed,Proddatur,142628.05,2025-11
96,45,39,4,2025-11-17T07:17:09Z,Wallet,Shipped,Panipat,40538.12,2025-11
95,75,17,2,2025-11-17T07:17:09Z,Upi,Completed,Haridwar,96422.7,2025-11
94,43,44,5,2025-11-17T07:17:09Z,Credit Card,Completed,Asansol,114254.25,2025-11
93,45,5,3,2025-11-17T07:17:09Z,Wallet,Pending,Patiala,98212.98,2025-11
92,52,43,2,2025-11-17T07:17:09Z,Upi,Completed,Gangtok,179302.18,2025-11
91,40,30,3,2025-11-17T07:17:09Z,Debit Card,Completed,Muzaffarpur,247001.76,2025-11
90,29,3,4,2025-11-17T07:17:09Z,Debit Card,Shipped,Ambala,106388.36,2025-11
89,21,16,3,2025-11-17T07:17:09Z,Wallet,Completed,Pimpri-Chinchwad,164814.15,2025-11
88,53,48,3,2025-11-17T07:17:09Z,Wallet,Shipped,Muzaffarpur,202958.22,2025-11
87,23,16,2,2025-11-17T07:17:09Z,Net Banking,Completed,Rewa,109876.1,2025-11
112,4,13,2,2025-11-17T07:17:09Z,Credit Card,Completed,Bathinda,64333.56,2025-11
142,97,42,1,2025-11-17T07:17:09Z,Credit Card,Delivered,Panchkula,34812.63,2025-11
113,99,31,5,2025-11-17T07:17:09Z,Credit Card,Completed,Hospet,65572.9,2025-11
115,32,32,4,2025-11-17T07:17:09Z,Debit Card,Cancelled,Faridabad,89685.96,2025-11
140,3,6,4,2025-11-17T07:17:09Z,Wallet,Pending,Berhampur,253996.36,2025-11
139,97,25,3,2025-11-17T07:17:09Z,Net Banking,Completed,Thiruvananthapuram,108850.44,2025-11
138,42,14,4,2025-11-17T07:17:09Z,Upi,Shipped,Sagar,96987.64,2025-11
137,7,30,2,2025-11-17T07:17:09Z,Upi,Completed,Bhilwara,164667.84,2025-11
136,83,2,1,2025-11-17T07:17:09Z,Net Banking,Completed,Ulhasnagar,34253.53,2025-11
135,51,35,1,2025-11-17T07:17:09Z,Cash On Delivery,Pending,Ranchi,52641.9,2025-11
134,60,26,2,2025-11-17T07:17:09Z,Debit Card,Delivered,Satara,38448.32,2025-11
133,50,32,1,2025-11-17T07:17:09Z,Upi,Cancelled,Kurnool,22421.49,2025-11
132,63,39,2,2025-11-17T07:17:09Z,Debit Card,Completed,Nandyal,20269.06,2025-11
131,96,27,5,2025-11-17T07:17:09Z,Wallet,Pending,Kirari Suleman Nagar,255875.25,2025-11
130,97,23,3,2025-11-17T07:17:09Z,Net Banking,Shipped,Karimnagar,15949.89,2025-11
129,49,2,5,2025-11-17T07:17:09Z,Net Banking,Completed,Aizawl,171267.65,2025-11
128,99,27,4,2025-11-17T07:17:09Z,Cash On Delivery,Delivered,Kirari Suleman Nagar,204700.2,2025-11
127,54,35,4,2025-11-17T07:17:09Z,Credit Card,Completed,Ichalkaranji,210567.6,2025-11
126,9,10,2,2025-11-17T07:17:09Z,Net Banking,Completed,Suryapet,18717.66,2025-11
125,20,6,2,2025-11-17T07:17:09Z,Debit Card,Completed,Sikar,126998.18,2025-11
124,43,16,3,2025-11-17T07:17:09Z,Upi,Shipped,Mahbubnagar,164814.15,2025-11
123,57,16,3,2025-11-17T07:17:09Z,Credit Card,Cancelled,Nangloi Jat,164814.15,2025-11
122,99,41,3,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Jhansi,114500.25,2025-11
121,58,11,4,2025-11-17T07:17:09Z,Upi,Shipped,Kanpur,163879.6,2025-11
120,55,47,5,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Thoothukudi,307242.1,2025-11
119,41,36,5,2025-11-17T07:17:09Z,Net Banking,Pending,Nangloi Jat,99860.35,2025-11
118,18,8,4,2025-11-17T07:17:09Z,Net Banking,Cancelled,Dharmavaram,105028.4,2025-11
117,60,45,5,2025-11-17T07:17:09Z,Credit Card,Pending,Srinagar,387554.7,2025-11
116,100,1,1,2025-11-17T07:17:09Z,Net Banking,Completed,Burhanpur,11495.91,2025-11
114,25,41,5,2025-11-17T07:17:09Z,Wallet,Cancelled,Tiruchirappalli,190833.75,2025-11
200,75,18,2,2025-11-17T07:17:09Z,Net Banking,Pending,Mahbubnagar,29912.4,2025-11
